id_venda,id_produto,id_cliente,data,quantidade,preco
272,2,14,2021-01-28,13,44.25
273,3,29,2021-01-28,7,18.3
274,4,20,2021-01-28,6,25.34
275,5,21,2021-01-28,7,17.5
276,6,3,2021-01-28,5,22.46
277,7,8,2021-01-28,5,14.1
278,8,11,2021-01-28,7,12.3
279,9,17,2021-01-28,5,21.5
280,10,26,2021-01-28,3,31.2
281,1,24,2021-01-29,3,51.4
282,2,28,2021-01-29,15,44.25
283,3,9,2021-01-29,14,18.3
284,4,5,2021-01-29,3,25.34
285,5,2,2021-01-29,4,17.5
286,6,6,2021-01-29,5,22.46
287,7,6,2021-01-29,1,14.1
288,8,10,2021-01-29,3,12.3
289,9,3,2021-01-29,5,21.5
290,10,3,2021-01-29,6,31.2
291,1,5,2021-01-30,13,51.4
292,2,27,2021-01-30,12,44.25
293,3,14,2021-01-30,13,18.3
294,4,13,2021-01-30,5,25.34
295,5,12,2021-01-30,3,17.5
296,6,3,2021-01-30,7,22.46
297,7,13,2021-01-30,3,14.1
298,8,13,2021-01-30,1,12.3
299,9,29,2021-01-30,3,21.5
300,10,26,2021-01-30,1,31.2
301,1,4,2021-01-31,3,51.4
302,2,16,2021-01-31,12,44.25
303,3,16,2021-01-31,12,18.3
304,4,10,2021-01-31,3,25.34
305,5,6,2021-01-31,7,17.5
306,6,27,2021-01-31,7,22.46
307,7,1,2021-01-31,4,14.1
308,8,18,2021-01-31,5,12.3
309,9,29,2021-01-31,7,21.5
310,10,12,2021-01-31,1,31.2
311,1,6,2021-02-01,13,51.4
312,2,11,2021-02-01,6,44.25
313,3,25,2021-02-01,7,18.3
314,4,10,2021-02-01,4,25.34
315,5,14,2021-02-01,1,17.5
316,6,30,2021-02-01,1,22.46
317,7,8,2021-02-01,7,14.1
318,8,26,2021-02-01,4,12.3
319,9,23,2021-02-01,3,21.5
320,10,22,2021-02-01,5,31.2
321,1,18,2021-02-02,3,51.4
322,2,26,2021-02-02,9,44.25
323,3,20,2021-02-02,12,18.3
324,4,25,2021-02-02,3,25.34
325,5,5,2021-02-02,3,17.5
326,6,3,2021-02-02,7,22.46
327,7,6,2021-02-02,7,14.1
328,8,27,2021-02-02,1,12.3
329,9,13,2021-02-02,7,21.5
330,10,9,2021-02-02,3,31.2
331,1,30,2021-02-03,10,51.4
332,2,7,2021-02-03,3,44.25
333,3,8,2021-02-03,9,18.3
334,4,29,2021-02-03,1,25.34
335,5,30,2021-02-03,6,17.5
336,6,9,2021-02-03,1,22.46
337,7,11,2021-02-03,1,14.1
338,8,22,2021-02-03,5,12.3
339,9,14,2021-02-03,7,21.5
340,10,30,2021-02-03,1,31.2
341,1,1,2021-02-04,13,51.4
342,2,7,2021-02-04,9,44.25
343,3,30,2021-02-04,13,18.3
344,4,19,2021-02-04,4,25.34
345,5,4,2021-02-04,5,17.5
346,6,15,2021-02-04,4,22.46
347,7,17,2021-02-04,6,14.1
348,8,22,2021-02-04,5,12.3
349,9,25,2021-02-04,3,21.5
350,10,5,2021-02-04,3,31.2
351,1,4,2021-02-05,3,51.4
352,2,28,2021-02-05,6,44.25
353,3,11,2021-02-05,11,18.3
354,4,30,2021-02-05,5,25.34
355,5,21,2021-02-05,3,17.5
356,6,19,2021-02-05,1,22.46
357,7,2,2021-02-05,1,14.1
358,8,29,2021-02-05,3,12.3
359,9,10,2021-02-05,3,21.5
360,10,11,2021-02-05,3,31.2
361,1,25,2021-02-06,3,51.4
362,2,22,2021-02-06,3,44.25
363,3,24,2021-02-06,3,18.3
364,4,11,2021-02-06,3,25.34
365,5,2,2021-02-06,7,17.5
366,6,26,2021-02-06,1,22.46
367,7,12,2021-02-06,3,14.1
368,8,24,2021-02-06,5,12.3
369,9,17,2021-02-06,5,21.5
370,10,8,2021-02-06,1,31.2
371,1,30,2021-02-07,14,51.4
372,2,19,2021-02-07,10,44.25
373,3,29,2021-02-07,3,18.3
374,4,26,2021-02-07,3,25.34
375,5,22,2021-02-07,3,17.5
376,6,1,2021-02-07,1,22.46
377,7,3,2021-02-07,6,14.1
378,8,22,2021-02-07,5,12.3
379,9,10,2021-02-07,6,21.5
380,10,24,2021-02-07,6,31.2
381,1,24,2021-02-08,3,51.4
382,2,28,2021-02-08,3,44.25
383,3,20,2021-02-08,6,18.3
384,4,17,2021-02-08,3,25.34
385,5,1,2021-02-08,3,17.5
386,6,7,2021-02-08,3,22.46
387,7,4,2021-02-08,6,14.1
388,8,20,2021-02-08,6,12.3
389,9,14,2021-02-08,7,21.5
390,10,7,2021-02-08,3,31.2
391,1,3,2021-02-09,6,51.4
392,2,7,2021-02-09,7,44.25
393,3,16,2021-02-09,12,18.3
394,4,14,2021-02-09,3,25.34
395,5,15,2021-02-09,7,17.5
396,6,5,2021-02-09,3,22.46
397,7,23,2021-02-09,3,14.1
398,8,7,2021-02-09,4,12.3
399,9,10,2021-02-09,6,21.5
400,10,30,2021-02-09,1,31.2
401,1,25,2021-02-10,14,51.4
402,2,25,2021-02-10,3,44.25
403,3,27,2021-02-10,7,18.3
404,4,21,2021-02-10,4,25.34
405,5,13,2021-02-10,3,17.5
406,6,4,2021-02-10,3,22.46
407,7,15,2021-02-10,5,14.1
408,8,8,2021-02-10,6,12.3
409,9,6,2021-02-10,6,21.5
410,10,9,2021-02-10,3,31.2
411,1,23,2021-02-11,15,51.4
412,2,1,2021-02-11,7,44.25
413,3,19,2021-02-11,12,18.3
414,4,27,2021-02-11,1,25.34
415,5,6,2021-02-11,1,17.5
416,6,29,2021-02-11,4,22.46
417,7,8,2021-02-11,3,14.1
418,8,12,2021-02-11,1,12.3
419,9,1,2021-02-11,3,21.5
420,10,2,2021-02-11,3,31.2
421,1,28,2021-02-12,9,51.4
422,2,17,2021-02-12,3,44.25
423,3,4,2021-02-12,15,18.3
424,4,27,2021-02-12,3,25.34
425,5,20,2021-02-12,3,17.5
426,6,23,2021-02-12,1,22.46
427,7,8,2021-02-12,1,14.1
428,8,2,2021-02-12,4,12.3
429,9,30,2021-02-12,1,21.5
430,10,19,2021-02-12,5,31.2
431,1,21,2021-02-13,3,51.4
432,2,12,2021-02-13,7,44.25
433,3,8,2021-02-13,12,18.3
434,4,24,2021-02-13,3,25.34
435,5,29,2021-02-13,3,17.5
436,6,23,2021-02-13,3,22.46
437,7,29,2021-02-13,3,14.1
438,8,16,2021-02-13,3,12.3
439,9,8,2021-02-13,5,21.5
440,10,13,2021-02-13,7,31.2
441,1,16,2021-02-14,7,51.4
442,2,28,2021-02-14,10,44.25
443,3,25,2021-02-14,10,18.3
444,4,24,2021-02-14,6,25.34
445,5,4,2021-02-14,1,17.5
446,6,19,2021-02-14,4,22.46
447,7,1,2021-02-14,1,14.1
448,8,28,2021-02-14,1,12.3
449,9,25,2021-02-14,4,21.5
450,10,24,2021-02-14,1,31.2
451,1,18,2021-02-15,15,51.4
452,2,29,2021-02-15,3,44.25
453,3,1,2021-02-15,7,18.3
454,4,19,2021-02-15,4,25.34
455,5,13,2021-02-15,1,17.5
456,6,21,2021-02-15,1,22.46
457,7,7,2021-02-15,1,14.1
458,8,11,2021-02-15,5,12.3
459,9,24,2021-02-15,3,21.5
460,10,18,2021-02-15,5,31.2
461,1,30,2021-02-16,3,51.4
462,2,5,2021-02-16,14,44.25
463,3,19,2021-02-16,7,18.3
464,4,16,2021-02-16,7,25.34
465,5,17,2021-02-16,3,17.5
466,6,14,2021-02-16,3,22.46
467,7,16,2021-02-16,7,14.1
468,8,11,2021-02-16,1,12.3
469,9,6,2021-02-16,1,21.5
470,10,10,2021-02-16,3,31.2
471,1,26,2021-02-17,12,51.4
472,2,21,2021-02-17,7,44.25
473,3,8,2021-02-17,9,18.3
474,4,4,2021-02-17,1,25.34
475,5,19,2021-02-17,3,17.5
476,6,1,2021-02-17,1,22.46
477,7,25,2021-02-17,4,14.1
478,8,4,2021-02-17,6,12.3
479,9,5,2021-02-17,3,21.5
480,10,4,2021-02-17,5,31.2
481,1,15,2021-02-18,12,51.4
482,2,15,2021-02-18,3,44.25
483,3,9,2021-02-18,6,18.3
484,4,22,2021-02-18,1,25.34
485,5,22,2021-02-18,6,17.5
486,6,28,2021-02-18,7,22.46
487,7,21,2021-02-18,4,14.1
488,8,7,2021-02-18,3,12.3
489,9,9,2021-02-18,1,21.5
490,10,24,2021-02-18,1,31.2
491,1,22,2021-02-19,3,51.4
492,2,28,2021-02-19,10,44.25
493,3,25,2021-02-19,15,18.3
494,4,6,2021-02-19,7,25.34
495,5,19,2021-02-19,3,17.5
496,6,26,2021-02-19,6,22.46
497,7,2,2021-02-19,7,14.1
498,8,5,2021-02-19,4,12.3
499,9,13,2021-02-19,7,21.5
500,10,28,2021-02-19,3,31.2
501,1,7,2021-02-20,7,51.4
502,2,26,2021-02-20,3,44.25
503,3,24,2021-02-20,6,18.3
504,4,1,2021-02-20,6,25.34
505,5,4,2021-02-20,6,17.5
506,6,3,2021-02-20,3,22.46
507,7,5,2021-02-20,4,14.1
508,8,17,2021-02-20,5,12.3
509,9,22,2021-02-20,4,21.5
510,10,22,2021-02-20,3,31.2
511,1,1,2021-02-21,15,51.4
512,2,22,2021-02-21,11,44.25
513,3,24,2021-02-21,3,18.3
514,4,4,2021-02-21,1,25.34
515,5,18,2021-02-21,1,17.5
516,6,9,2021-02-21,7,22.46
517,7,28,2021-02-21,6,14.1
518,8,22,2021-02-21,6,12.3
519,9,12,2021-02-21,5,21.5
520,10,28,2021-02-21,3,31.2
521,1,19,2021-02-22,13,51.4
522,2,15,2021-02-22,10,44.25
523,3,13,2021-02-22,3,18.3
524,4,24,2021-02-22,4,25.34
525,5,5,2021-02-22,7,17.5
526,6,2,2021-02-22,4,22.46
527,7,19,2021-02-22,3,14.1
528,8,1,2021-02-22,6,12.3
529,9,20,2021-02-22,6,21.5
530,10,8,2021-02-22,5,31.2
531,1,17,2021-02-23,3,51.4
532,2,27,2021-02-23,7,44.25
533,3,27,2021-02-23,11,18.3
534,4,1,2021-02-23,3,25.34
535,5,25,2021-02-23,7,17.5
536,6,30,2021-02-23,7,22.46
537,7,23,2021-02-23,3,14.1
538,8,12,2021-02-23,3,12.3
539,9,22,2021-02-23,3,21.5
540,10,19,2021-02-23,3,31.2
541,1,11,2021-02-24,15,51.4
542,2,26,2021-02-24,3,44.25
543,3,13,2021-02-24,3,18.3
544,4,7,2021-02-24,5,25.34
545,5,9,2021-02-24,7,17.5
546,6,4,2021-02-24,3,22.46
547,7,5,2021-02-24,4,14.1
548,8,16,2021-02-24,7,12.3
549,9,2,2021-02-24,5,21.5
550,10,21,2021-02-24,7,31.2
551,1,15,2021-02-25,13,51.4
552,2,20,2021-02-25,14,44.25
553,3,9,2021-02-25,15,18.3
554,4,25,2021-02-25,1,25.34
555,5,6,2021-02-25,3,17.5
556,6,14,2021-02-25,5,22.46
557,7,17,2021-02-25,3,14.1
558,8,14,2021-02-25,1,12.3
559,9,8,2021-02-25,5,21.5
560,10,22,2021-02-25,1,31.2
561,1,3,2021-02-26,3,51.4
562,2,29,2021-02-26,3,44.25
563,3,2,2021-02-26,3,18.3
564,4,25,2021-02-26,3,25.34
565,5,21,2021-02-26,1,17.5
566,6,10,2021-02-26,1,22.46
567,7,30,2021-02-26,3,14.1
568,8,15,2021-02-26,1,12.3
569,9,10,2021-02-26,7,21.5
570,10,4,2021-02-26,1,31.2
571,1,2,2021-02-27,15,51.4
572,2,20,2021-02-27,3,44.25
573,3,12,2021-02-27,10,18.3
574,4,30,2021-02-27,3,25.34
575,5,17,2021-02-27,1,17.5
576,6,12,2021-02-27,1,22.46
577,7,6,2021-02-27,3,14.1
578,8,11,2021-02-27,4,12.3
579,9,29,2021-02-27,5,21.5
580,10,14,2021-02-27,7,31.2
581,1,23,2021-02-28,3,51.4
582,2,4,2021-02-28,12,44.25
583,3,12,2021-02-28,15,18.3
584,4,2,2021-02-28,4,25.34
585,5,19,2021-02-28,6,17.5
586,6,22,2021-02-28,6,22.46
587,7,23,2021-02-28,5,14.1
588,8,16,2021-02-28,5,12.3
589,9,9,2021-02-28,3,21.5
590,10,22,2021-02-28,5,31.2
591,1,12,2021-03-01,7,51.4
592,2,9,2021-03-01,4,44.25
593,3,4,2021-03-01,7,18.3
594,4,19,2021-03-01,4,25.34
595,5,25,2021-03-01,2,17.5
596,6,18,2021-03-01,1,22.46
597,7,30,2021-03-01,3,14.1
598,8,13,2021-03-01,2,12.3
599,9,17,2021-03-01,2,21.5
600,10,2,2021-03-01,4,31.2
601,1,9,2021-03-02,8,51.4
602,2,4,2021-03-02,1,44.25
603,3,29,2021-03-02,1,18.3
604,4,25,2021-03-02,2,25.34
605,5,9,2021-03-02,3,17.5
606,6,20,2021-03-02,4,22.46
607,7,14,2021-03-02,1,14.1
608,8,12,2021-03-02,2,12.3
609,9,21,2021-03-02,1,21.5
610,10,2,2021-03-02,4,31.2
611,1,10,2021-03-03,7,51.4
612,2,13,2021-03-03,6,44.25
613,3,30,2021-03-03,3,18.3
614,4,13,2021-03-03,2,25.34
615,5,25,2021-03-03,1,17.5
616,6,16,2021-03-03,1,22.46
617,7,9,2021-03-03,1,14.1
618,8,7,2021-03-03,3,12.3
619,9,2,2021-03-03,1,21.5
620,10,10,2021-03-03,1,31.2
621,1,15,2021-03-04,6,51.4
622,2,28,2021-03-04,4,44.25
623,3,12,2021-03-04,6,18.3
624,4,24,2021-03-04,2,25.34
625,5,9,2021-03-04,1,17.5
626,6,11,2021-03-04,4,22.46
627,7,3,2021-03-04,2,14.1
628,8,3,2021-03-04,3,12.3
629,9,4,2021-03-04,2,21.5
630,10,4,2021-03-04,1,31.2
631,1,6,2021-03-05,4,51.4
632,2,26,2021-03-05,7,44.25
633,3,7,2021-03-05,3,18.3
634,4,24,2021-03-05,1,25.34
635,5,25,2021-03-05,2,17.5
636,6,24,2021-03-05,2,22.46
637,7,19,2021-03-05,4,14.1
638,8,4,2021-03-05,3,12.3
639,9,30,2021-03-05,3,21.5
640,10,5,2021-03-05,3,31.2
641,1,17,2021-03-06,4,51.4
642,2,11,2021-03-06,5,44.25
643,3,14,2021-03-06,5,18.3
644,4,23,2021-03-06,3,25.34
645,5,14,2021-03-06,1,17.5
646,6,24,2021-03-06,2,22.46
647,7,19,2021-03-06,1,14.1
648,8,1,2021-03-06,1,12.3
649,9,13,2021-03-06,1,21.5
650,10,2,2021-03-06,1,31.2
651,1,17,2021-03-07,3,51.4
652,2,3,2021-03-07,5,44.25
653,3,21,2021-03-07,3,18.3
654,4,11,2021-03-07,2,25.34
655,5,9,2021-03-07,1,17.5
656,6,4,2021-03-07,1,22.46
657,7,13,2021-03-07,2,14.1
658,8,18,2021-03-07,4,12.3
659,9,2,2021-03-07,3,21.5
660,10,7,2021-03-07,1,31.2
661,1,13,2021-03-08,6,51.4
662,2,5,2021-03-08,3,44.25
663,3,6,2021-03-08,1,18.3
664,4,5,2021-03-08,3,25.34
665,5,7,2021-03-08,2,17.5
666,6,7,2021-03-08,1,22.46
667,7,1,2021-03-08,3,14.1
668,8,10,2021-03-08,3,12.3
669,9,28,2021-03-08,1,21.5
670,10,22,2021-03-08,3,31.2
671,1,6,2021-03-09,8,51.4
672,2,24,2021-03-09,1,44.25
673,3,16,2021-03-09,5,18.3
674,4,21,2021-03-09,1,25.34
675,5,22,2021-03-09,3,17.5
676,6,30,2021-03-09,1,22.46
677,7,25,2021-03-09,2,14.1
678,8,5,2021-03-09,1,12.3
679,9,12,2021-03-09,3,21.5
680,10,22,2021-03-09,1,31.2
681,1,20,2021-03-10,7,51.4
682,2,10,2021-03-10,4,44.25
683,3,22,2021-03-10,8,18.3
684,4,2,2021-03-10,1,25.34
685,5,19,2021-03-10,1,17.5
686,6,27,2021-03-10,1,22.46
687,7,28,2021-03-10,1,14.1
688,8,28,2021-03-10,2,12.3
689,9,10,2021-03-10,1,21.5
690,10,10,2021-03-10,2,31.2
691,1,16,2021-03-11,6,51.4
692,2,1,2021-03-11,1,44.25
693,3,1,2021-03-11,8,18.3
694,4,21,2021-03-11,2,25.34
695,5,2,2021-03-11,2,17.5
696,6,18,2021-03-11,2,22.46
697,7,3,2021-03-11,3,14.1
698,8,23,2021-03-11,4,12.3
699,9,11,2021-03-11,3,21.5
700,10,24,2021-03-11,1,31.2
701,1,4,2021-03-12,7,51.4
702,2,25,2021-03-12,6,44.25
703,3,30,2021-03-12,2,18.3
704,4,14,2021-03-12,3,25.34
705,5,19,2021-03-12,2,17.5
706,6,17,2021-03-12,1,22.46
707,7,4,2021-03-12,3,14.1
708,8,27,2021-03-12,2,12.3
709,9,28,2021-03-12,2,21.5
710,10,6,2021-03-12,4,31.2
711,1,18,2021-03-13,7,51.4
712,2,11,2021-03-13,3,44.25
713,3,10,2021-03-13,3,18.3
714,4,22,2021-03-13,1,25.34
715,5,16,2021-03-13,1,17.5
716,6,7,2021-03-13,1,22.46
717,7,29,2021-03-13,3,14.1
718,8,2,2021-03-13,2,12.3
719,9,18,2021-03-13,2,21.5
720,10,11,2021-03-13,2,31.2
721,1,11,2021-03-14,2,51.4
722,2,9,2021-03-14,4,44.25
723,3,22,2021-03-14,9,18.3
724,4,19,2021-03-14,1,25.34
725,5,4,2021-03-14,1,17.5
726,6,21,2021-03-14,3,22.46
727,7,10,2021-03-14,1,14.1
728,8,10,2021-03-14,1,12.3
729,9,15,2021-03-14,3,21.5
730,10,22,2021-03-14,4,31.2
731,1,19,2021-03-15,2,51.4
732,2,19,2021-03-15,6,44.25
733,3,8,2021-03-15,3,18.3
734,4,12,2021-03-15,3,25.34
